business_id,name,website,current_email,current_logo,niche_slug,city,state_code
b_autumn-air-home-se_ham_bama_49502,Autumn Air Home Services,https://autumnairbirmingham.com/,info@autumnairhvacal.com,https://autumnairbirmingham.com/wp-content/uploads/2022/12/cropped-Autumn-Air-Home-Services-Logo-Favicon-32x32.png,electrical,Birmingham,AL
b_aire-serv-of-birmi_ham_bama_67126,Aire Serv of Birmingham,https://www.aireserv.com/birmingham/?cid=LSTL_ASV-US000187&utm_source=gmb&utm_campaign=local&utm_medium=organic,,,hvac,Birmingham,AL
b_clark-heating-air-_ery_bama_86034,"Clark Heating, Air Conditioning & Plumbing",https://www.clarkcomfort.com/,,,plumbing,Montgomery,AL
b_roto-rooter-montgo_ery_bama_52286,Roto Rooter,http://www.rotorooteralabama.com/,,https://rotorooteralabama.com/wp-content/uploads/2025/07/Roto-Rooter-Plumbing-and-Drain-Service-Millbrook-Alabama.png,plumbing,Montgomery,AL
b_home-pros-plumbing_ery_bama_68003,"Home Pros Plumbing, Heating and Air",https://alabamahomepros.com/?utm_source=gmb,,https://alabamahomepros.com/wp-content/uploads/2021/02/cropped-Favicon-1-32x32.png,plumbing,Montgomery,AL
b_3d-air-services-ll_ham_bama_67474,"3D Air Services, LLC",https://3dairserve.com/,,,hvac,Birmingham,AL
b_one-source-heating_ham_bama_57049,"One Source Heating, Cooling, Plumbing & Electrical",https://www.onesourceair.com/?utm_source=gmb&utm_medium=organic&utm_campaign=listing,,,plumbing,Birmingham,AL
b_montgomery-oversto_ery_bama_43918,Montgomery Overstock,http://montgomeryoverstock.com/,,,electrical,Montgomery,AL
b_idea-roofing-birmi_ham_bama_05465,Idea Roofing,https://www.idearoofingandconstruction.com/,idearoofingal@gmail.com,https://iuguoryuevjnmdejvwes.supabase.co/storage/v1/object/public/logos/logos/b_idea-roofing-birmi_ham_bama_05465.png,roofing,Birmingham,AL
b_myers-comfort-spec_ery_bama_23225,Myers Comfort Specialists of Montgomery,https://myers-air.com/,,https://www.myers-air.com/logo/White-M-icon-circle.png,plumbing,Montgomery,AL
b_edwards-plumbing-a_ery_bama_20767,Edwards Plumbing and Heating,https://edwardsplumbing.com/,,,plumbing,Montgomery,AL
b_schitt-s-plumbing-_ery_bama_96832,Schitt's Plumbing LLC,https://www.schittsplumbing.com/,,,plumbing,Montgomery,AL
b_keith-the-plumber-_ham_bama_21784,Keith The Plumber LLC,https://keith-the-plumber.com/,,,plumbing,Birmingham,AL
b_trustworthy-electr_ery_bama_37241,Trustworthy Electric,https://www.trustworthyelectric.net/?utm_source=google&utm_medium=organic&utm_campaign=gmb-profile-montgomery,,https://www.trustworthyelectric.net/wp-content/uploads/2021/12/cropped-tworthy-favi-32x32.png,electrical,Montgomery,AL
b_the-neighborhood-p_ham_bama_00630,The Neighborhood Plumber Inc,https://www.theneighborhoodplumber.com/,,https://www.theneighborhoodplumber.com/assets/Social-Share.jpg.webp,plumbing,Birmingham,AL
b_air-conditioning-b_ery_bama_87235,Air Conditioning by Luquire,https://www.acbyluquire.com/,,,plumbing,Montgomery,AL
b_shepherd-electric-_ham_bama_45773,"Shepherd Electric Company, Inc.",https://www.shepherd-electric.net/,,https://iuguoryuevjnmdejvwes.supabase.co/storage/v1/object/public/logos/logos/b_shepherd-electric-_ham_bama_45773.jpg,electrical,Birmingham,AL
b_superior-service-e_ham_bama_91781,Superior Service Electric,https://superiorservice247.com/,,https://www.superiorservice247.com/fbm-data/images/favicon.png,electrical,Birmingham,AL
b_harrison-heating-a_ery_bama_69791,Harrison Heating & Air,https://harrisonheatingandair.com/heating,,https://harrisonheatingandair.com/wp-content/uploads/2025/11/logo-1-150x135.webp,hvac,Montgomery,AL
b_i-am-roofing-montg_ery_bama_24429,I AM Roofing,https://iamroofing.com/,,,roofing,Montgomery,AL
b_green-valley-roofi_ham_bama_57902,Green Valley Roofing & Construction,https://greenvalleyroofers.com/,,,roofing,Birmingham,AL
b_hiller-plumbing-he_ham_bama_00981,"Hiller Plumbing, Heating, Cooling & Electrical",https://happyhiller.com/locations/birmingham/?utm_source=gmb&utm_medium=localseo&utm_campaign=local&se_campaign=Internet-LocalSEO,,https://happyhiller.com/wp-content/uploads/2019/04/favicon.ico,plumbing,Birmingham,AL
b_mr-handyman-of-bir_ham_bama_02983,Mr. Handyman of Birmingham,https://www.mrhandyman.com/birmingham/?cid=LSTL_MHM000197&utm_source=gmb&utm_campaign=local&utm_medium=organic,,,kitchen-remodeling,Birmingham,AL
b_air-experts-birmin_ham_bama_59974,Air Experts,https://www.theairexperts.net/?utm_source=google&utm_medium=organic&utm_campaign=gbpbirmingham,office@theairexperts.com,https://iuguoryuevjnmdejvwes.supabase.co/storage/v1/object/public/logos/logos/b_air-experts-birmin_ham_bama_59974.png,hvac,Birmingham,AL
b_blue-angels-roofin_ham_bama_95089,Blue Angels Roofing Birmingham,http://www.blueangelsroofing.com/,,,roofing,Birmingham,AL
b_yellowhammer-roofi_ham_bama_37975,"Yellowhammer Roofing, Inc.",https://www.yellowhammerroofing.com/service-area/central-alabama-service-area/?UTM_source=GMB_listing&UTM_medium=organic,,,roofing,Birmingham,AL
b_one-call-roofing-l_ham_bama_39191,"One Call Roofing, LLC",https://www.onecallroofing.com/,no-reply@onecallroofing.com,https://www.onecallroofing.com/wp-content/uploads/icon-150x150.png,roofing,Birmingham,AL
b_river-region-heati_ery_bama_65990,River Region Heating and Cooling,http://rrhc.cool/,,https://iuguoryuevjnmdejvwes.supabase.co/storage/v1/object/public/logos/logos/b_river-region-heati_ery_bama_65990.png,hvac,Montgomery,AL
b_homepros-plumbing-_ery_bama_80392,HomePros plumbing heating and air.,http://alabamahomepros.com/,,https://alabamahomepros.com/wp-content/uploads/2021/02/cropped-Favicon-1-32x32.png,plumbing,Montgomery,AL
b_the-roofing-dudes-_ham_bama_95427,The Roofing Dudes,https://theroofingdudes.com/?utm_source=GBP&utm_medium=organic,,,roofing,Birmingham,AL
b_sentry-heating-air_ham_bama_77304,"Sentry Heating, Air Conditioning, Plumbing, & Electrical",https://sentryheating.com/,,,plumbing,Birmingham,AL
b_elite-pool-service_ham_bama_94798,Elite Pool Services,https://elitepoolservices.com/,info@elitepoolservices.com,https://elitepoolservices.com/images/favico.png,kitchen-remodeling,Birmingham,AL
b_iron-mountain-drai_ham_bama_03686,Iron Mountain Drains & Plumbing And Construction,http://www.ironmountainworld.com/,,https://www.bigscoots.com/hosting-server-check/favicon.png,plumbing,Birmingham,AL
b_southern-industrie_ham_bama_08694,Southern Industries Home Improvements,https://southernindustries.com/birmingham-al/?utm_source=google&utm_medium=organic&utm_campaign=local&leadsource=gbh,,https://southernindustries.com/wp-content/uploads/2022/03/cropped-icon-32x32.png,roofing,Birmingham,AL
b_dj-and-sons-at-you_ery_bama_48855,DJ and Sons At Your Service LLC,https://www.facebook.com/DreamDC93/,,,kitchen-remodeling,Montgomery,AL
b_scout-home-service_ham_bama_28126,Scout Home Services - Birmingham,https://scouthome.services/,,,electrical,Birmingham,AL
b_lake-martin-heatin_ery_bama_02762,"Lake Martin Heating & Air Conditioning, LLC",http://lakemartinhvac.com/,,https://lakemartinhvac.com/wp-content/uploads/sites/22/2022/06/cropped-Square-logo-32x32.jpeg,hvac,Montgomery,AL
b_alabama-roofing-pr_ham_bama_79476,Alabama Roofing Professionals,https://alroofpros.com/,,https://cdn.hibuwebsites.com/e5762643002543e4934836525315f863/site_favicon_16_1783611379233.ico,roofing,Birmingham,AL
b_hans-heating-and-a_ery_bama_05609,Hans Heating and Air,https://www.834hans.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,electrical,Montgomery,AL
b_servpro-of-montgom_ery_bama_29372,SERVPRO of Montgomery,https://www.servpro.com/locations/al/servpro-of-montgomery?utm_medium=organic&utm_source=gbp,,https://www.servpro.com/favicon-32x32.png?v=fe13b2f4b4b419f2bd47c54d8683aec2,plumbing,Montgomery,AL
b_western-sales-serv_ham_bama_35868,"Western Sales & Services, Inc.",https://westernsalesandservices.com/?utm_source=google+business+listing&utm_medium=organic&utm_campaign=click-to-website,,,plumbing,Birmingham,AL
b_black-dog-plumbing_ham_bama_71117,Black Dog Plumbing,https://blackdog-plumbing.com/,blackdogplumbingllc@gmail.com,https://iuguoryuevjnmdejvwes.supabase.co/storage/v1/object/public/logos/logos/b_black-dog-plumbing_ham_bama_71117.png,plumbing,Birmingham,AL
b_paradise-heating-a_ham_bama_16261,Paradise Heating and Air,http://paradiseheatingandairal.com/,,https://paradiseheatingandairal.com/wp-content/uploads/2024/01/cropped-Paradise-Heating-and-Air-HVAC-Birmingham-Alabama-Icon-32x32.png,hvac,Birmingham,AL
b_apex-roofing-resto_ham_bama_74310,Apex Roofing & Restoration,http://www.apexroofs.com/,,,roofing,Birmingham,AL
b_cohens-electronics_ery_bama_67604,"Cohens Electronics and Appliances, Inc.",http://www.thinkcohens.com/,,,plumbing,Montgomery,AL
b_best-choice-roofin_ham_bama_72546,Best Choice Roofing,https://bestchoiceroofing.com/birmingham/?utm_source=gmb&utm_medium=organic&utm_campaign=birmingham,,,roofing,Birmingham,AL
b_temperaturepro-bir_ham_bama_12623,TemperaturePro,https://temperaturepro.com/pelham-al/?utm_source=google&utm_medium=organic&utm_campaign=gbp-pelham,,,hvac,Birmingham,AL
b_re-bath-birmingham_ham_bama_70724,Re-Bath,https://www.rebath.com/location/birmingham/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,,bathroom-remodeling,Birmingham,AL
b_drain-werks-birmin_ham_bama_46573,Drain Werks,https://drainwerks.com/?utm_source=gmb&utm_medium=organic,,,plumbing,Birmingham,AL
b_chapman-plumbing-b_ham_bama_59531,Chapman Plumbing,https://chapmanplumbingal.com/,,,plumbing,Birmingham,AL
b_southern-armature-_ham_bama_60200,Southern Armature Works,https://www.southernarmatureworks.com/,,https://i0.wp.com/southernarmatureworks.com/wp-content/uploads/2024/11/cropped-southern_armature_logo.png?fit=32%2C32&ssl=1,electrical,Birmingham,AL
b_skyward-air-repair_ham_bama_36688,Skyward Air Repair Heating Air,https://www.airrepairal.com/service-area/hvac-services-irondale-al/?utm_source=gmb&utm_medium=organic,al@airrepairal.com,https://www.airrepairal.com/wp-content/uploads/cropped-favicon-air-repair-al-1-32x32.png,hvac,Birmingham,AL
b_drainblaster-plumb_ham_bama_54243,Drainblaster Plumbing,http://www.birminghamplumbinganddrainservice.com/,,,plumbing,Birmingham,AL
b_guyette-roofing-an_ery_bama_32637,Guyette Roofing and Construction,http://www.guyetteroofing.com/,,https://multitenantplatform.blob.core.windows.net/tenant-59/branding-assets/72a893e2-f3aa-4acb-8711-89b5a2f7e1b5.png,roofing,Montgomery,AL
b_o-neal-service-pro_ham_bama_86378,O’Neal Service Pros,http://onealservicepros.com/,,,plumbing,Birmingham,AL
b_capitol-city-roofi_ery_bama_21043,"Capitol City Roofing, LLC",http://www.capitolcityroofing.com/,,,roofing,Montgomery,AL
b_hinkle-roofing-bir_ham_bama_96491,Hinkle Roofing,http://www.hinkleroofing.com/?utm_campaign=gmb,,https://www.hinkleroofing.com/wp-content/uploads/2019/07/favicon-75x75.jpg,roofing,Birmingham,AL
b_homeworx-birmingha_ham_bama_48457,Homeworx Birmingham,https://homeworxbham.com/,,https://homeworxbham.com/wp-content/uploads/2025/09/cropped-Homeworx_favicon-32x32.png,roofing,Birmingham,AL
b_alabama-s-best-hea_ery_bama_33584,Alabama's Best Heating Air & Home Repair,https://alabamasbesthvac.com/,,https://alabamasbesthvac.com/wp-content/uploads/2023/03/LOGO-BEST-modified-200-100x100.png,hvac,Montgomery,AL
b_gmq-tops-of-montgo_ery_bama_90435,GMQ Tops of Montgomery,https://gmqtops.com/montgomery/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=montgomery,info@gmqtops.com,https://gmqtops.com/wp-content/uploads/2023/01/cropped-cropped-logo-b-32x32.png,kitchen-remodeling,Montgomery,AL
b_j-w-lawson-plumbin_ham_bama_43543,J.W. Lawson Plumbing,https://jwlawsonplumbing.com/,,,plumbing,Birmingham,AL
b_brightwire-electri_ery_bama_40951,BrightWire Electrical Solutions,https://getbrightwire.com/,,https://getbrightwire.com/wp-content/uploads/2024/10/BrightWire-Electrical-Solutions-Electrician-Services-Favicon-150x150.png,electrical,Montgomery,AL
b_eagle-roofing-and-_ham_bama_91534,Eagle Roofing and Construction,https://eagledoesitright.com/,eagle@eagledoesitright.com,https://eagledoesitright.com/favicon.ico,roofing,Birmingham,AL
b_elite-roofing-llc-_ham_bama_37213,Elite Roofing LLC,https://www.eliteroofpro.com/elite-general-contracting/leading-roofer-in-birmingham,,,roofing,Birmingham,AL
b_southern-guard-roo_ham_bama_99941,Southern Guard Roofing,https://www.sgrroofing.com/,,https://www.sgrroofing.com/site/wp-content/themes/nw-southernguard/favicon.ico?v=6,roofing,Birmingham,AL
b_habitat-for-humani_ery_bama_19798,Habitat For Humanity Montgomery Restore,https://www.montgomeryrestore.org/,,https://static.parastorage.com/client/pfavico.ico,kitchen-remodeling,Montgomery,AL
b_fire-ice-heating-a_ery_bama_74937,"Fire & Ice Heating & Air, LLC",https://fireiceair.com/,,,hvac,Montgomery,AL
b_southern-home-stru_ham_bama_00095,Southern Home Structural Specialist,https://foundationsunlimited.com/?utm_source=gmb&utm_medium=organic,southernhomestructural@gmail.com,https://foundationsunlimited.com/wp-content/uploads/2018/08/foundations-favi-150x150.png,kitchen-remodeling,Birmingham,AL
b_hemphill-services-_ham_bama_48576,Hemphill Services,https://hemphillservices.com/,,,plumbing,Birmingham,AL
b_to-the-rescue-birm_ham_bama_64522,To The Rescue!,http://www.totherescuebirmingham.com/,totherescueoffice@gmail.com,https://totherescuebirmingham.com/wp-content/uploads/2020/03/avada-plumber.png,kitchen-remodeling,Birmingham,AL
b_alabama-cooling-an_ham_bama_25998,Alabama Cooling and Heating,https://alabamahvacservices.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,,hvac,Birmingham,AL
b_hyde-roofing-birmi_ham_bama_24369,Hyde Roofing,https://hyderoofing.com/roofing-contractor-birmingham-al/,,https://i0.wp.com/hyderoofing.com/wp-content/uploads/2022/03/cropped-Hyde-Roofing-Site-Icon-1.png?fit=32%2C32&ssl=1,roofing,Birmingham,AL
b_legacy-electrical-_ham_bama_83252,Legacy Electrical Service,http://mylegacyelectrical.com/,office@mylegacyelectrical.com,https://i0.wp.com/mylegacyelectrical.com/wp-content/uploads/2023/03/untitled-design.png?fit=32%2C32&ssl=1,electrical,Birmingham,AL
b_clean-concepts-inc_ery_bama_25163,Clean Concepts Inc,https://cleanconceptsinc.net/,,https://cleanconceptsinc.net/wp-content/uploads/2025/07/cropped-5ebf0689409cc-32x32.webp,hvac,Montgomery,AL
b_abide-roofing-birm_ham_bama_15885,Abide Roofing,https://www.abideroof.com/,info@abideroof.com,https://cdn.prod.website-files.com/6800d18d7d8f76df51fbd505/681f001f80a109ff69941d15_21.png,roofing,Birmingham,AL
b_superior-plumbing-_ham_bama_27406,Superior Plumbing & Drain,https://superiorplumbingbhm.com/,,https://superiorplumbingbhm.com/images/favico.png,plumbing,Birmingham,AL
b_star-electric-llc-_ery_bama_64642,Star Electric LLC,https://starelectric.energy/,,"https://img1.wsimg.com/isteam/ip/3774900a-cef9-4268-a455-96344cdfc9cc/favicon/0b1dc9e3-7e90-47d5-886f-e020def51cb5/be738ee9-f651-4272-8209-c2ba265d79ef.jpg/:/rs=w:16,h:16,m",electrical,Montgomery,AL
b_douglas-cooling-he_ham_bama_86223,Douglas Cooling Heating Electrical Plumbing,https://www.douglascoolingandheating.com/?utm_source=gbp&utm_medium=organic,,,plumbing,Birmingham,AL
b_coleson-plumbing-g_ham_bama_75844,"Coleson Plumbing & Gas , Plumber, Sewer line repair, Tankless Water heater repair & Water Damage Restoration Birmingham, AL",http://colesonplumbing.com/,info@colesonplumbing.com,https://static.wixstatic.com/media/f63383_32d3649b6a7047739aa4394a40cbcd81%7Emv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/f63383_32d3649b6a7047739aa4394a40cbcd81%7Emv2.png,plumbing,Birmingham,AL
b_in-and-out-floorin_ham_bama_97834,In and Out Flooring,https://inandoutflooring.com/,,,flooring,Birmingham,AL
b_barrett-heating-co_ery_bama_11975,Barrett Heating & Cooling LLC,http://www.barrettcooling.com/,,https://barrettcooling.com/wp-content/uploads/2018/03/Barrett-Favicon-150x150.png,hvac,Montgomery,AL
b_airloc-birmingham_ham_bama_24199,Airloc,http://www.airloc.net/,admin@airloc.net,https://static.wixstatic.com/media/936af9_1d27a703c2e6438b818eda73ad656fc6.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/936af9_1d27a703c2e6438b818eda73ad656fc6.png,hvac,Birmingham,AL
b_stegall-heating-ai_ham_bama_97076,"Stegall Heating, Air Conditioning, and Plumbing",https://callstegall.com/,,https://callstegall.com/media/favicon.png,plumbing,Birmingham,AL
b_plus-one-heating-a_ham_bama_65594,Plus One Heating and Air,https://www.plusoneheatingandair.com/,,https://www.plusoneheatingandair.com/images/Social-Share.jpg,hvac,Birmingham,AL
b_reeder-roofing-llc_ham_bama_31037,Reeder Roofing LLC,https://www.reederservices.com/?utm_source=google-listing&utm_medium=organic&utm_campaign=geotarget-business-listing,reederroofing@gmail.com,https://reederservices.com/images/RR-logo.png,roofing,Birmingham,AL
b_brewer-roofing-con_ham_bama_23174,Brewer Roofing & Construction,https://brewerroofingandconstruction.com/,,https://brewerroofingandconstruction.com/wp-content/uploads/2021/05/cropped-Favicon-32x32.png,roofing,Birmingham,AL
b_lovelady-electrica_ham_bama_87116,Lovelady Electrical Contractors,http://www.loveladyelectricalbham.com/,,https://primary.jwwb.nl/public/r/r/z/temp-kgkbqgengqsmbbawpjwg/gedfwk/clp_643eb6a32f3c4.jpg,electrical,Birmingham,AL
b_home-commercial-se_ham_bama_92346,"Home & Commercial Services, LLC",https://hollandhcs.com/,contact@hollandhcs.com,https://cdn.prod.website-files.com/690e1fe0f16274da19e32102/690ea0c7dd1966156efc620e_favicon-32x32.png,hvac,Birmingham,AL
b_aire-serv-of-montg_ery_bama_43257,Aire Serv of Montgomery,https://www.aireserv.com/montgomery-auburn/?cid=LSTL_ASV-US000187&utm_source=gmb&utm_campaign=local&utm_medium=organic,,,hvac,Montgomery,AL
b_roofing-world-mont_ery_bama_25424,Roofing World,https://roofingworldal.com/locations/montgomery-al/?utm_source=bing&utm_medium=cpc&utm_term=roofing&utm_content=Roofing,,,roofing,Montgomery,AL
b_airtight-heating-c_ery_bama_23870,"AirTight Heating & Cooling, LLC",http://www.callairtight.com/,,https://iuguoryuevjnmdejvwes.supabase.co/storage/v1/object/public/logos/logos/b_airtight-heating-c_ery_bama_23870.jpg,hvac,Montgomery,AL
b_s-tek-heating-air-_ham_bama_78219,S-Tek Heating & Air,https://www.stekheatingandair.com/,,,hvac,Birmingham,AL
b_dawson-true-servic_ham_bama_38168,Dawson True Services LLC.,https://www.dawsontruehvac.com/,sales@dawsontruehvac.com,https://static.wixstatic.com/media/f2b9c0_c3f10a42ce86406283f9d95c4bb458b9%7Emv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/f2b9c0_c3f10a42ce86406283f9d95c4bb458b9%7Emv2.png,hvac,Birmingham,AL
b_bs-plumbing-llc-bi_ham_bama_24550,BS Plumbing LLC,https://www.bsplumbingllc.com/,,,plumbing,Birmingham,AL
b_nick-s-heating-and_ham_bama_61308,Nick's Heating and Cooling,https://callnicksheatingandcooling.com/birmingham-hvac-contractor/,,,hvac,Birmingham,AL
b_magnum-constructio_ham_bama_56917,Magnum Construction LLC,https://www.magnumroofs.com/,jobs@magnumroofs.com,https://images.squarespace-cdn.com/content/v1/64138fe14aa2d17798c2d035/533668f8-b820-4264-b57d-9b448999150a/favicon.ico?format=100w,roofing,Birmingham,AL
b_alabama-plumbing-s_ham_bama_76656,"Alabama Plumbing Services, LLC",https://alabamaplumbingservices.com/,,https://alabamaplumbingservices.com/images/favicon.png,plumbing,Birmingham,AL
b_brasher-plumbing-s_ham_bama_71351,Brasher Plumbing Solutions,https://brasherplumbingsolutions.net/,,https://assets.cdn.filesafe.space/khaAjizbv5eGxkhmqtwD/media/69eb12030d66f2a665c127a6.png,plumbing,Birmingham,AL
b_b-d-electric-motor_ham_bama_85558,B & D Electric Motor Co,http://www.banddelectricmotorco.com/,,,electrical,Birmingham,AL
b_bath-innovations-o_ery_bama_11983,Bath Innovations of Alabama,https://bathinnovations.com/,,https://cmsplatform.blob.core.windows.net/wwwbathinnovationscom/favicon/favicon.png?v=10:27%20PM,bathroom-remodeling,Montgomery,AL
b_roofing-world-birm_ham_bama_25424,Roofing World,https://roofingworldal.com/locations/birmingham-al/?utm_source=bing&utm_medium=cpc&utm_term=roofing&utm_content=Roofing,,,roofing,Birmingham,AL
b_latta-plumbing-ser_ham_bama_37380,Latta Plumbing Service,https://www.lattaplumbing.com/,michele@lattaplumbingservice.com,https://www.lattaplumbing.com/wp-content/uploads/2019/10/cropped-latta_favicon-192x192.png ,plumbing,Birmingham,AL
b_frontier-roofing-c_ham_bama_43921,Frontier Roofing Co,https://frontierroofingco.com/,,,roofing,Birmingham,AL
b_bailey-s-electrica_ham_bama_73224,"Bailey's Electrical Services and Technicians, LLC",https://www.facebook.com/BESTLLC2021/,,,electrical,Birmingham,AL
b_btrained-hvac-trai_ham_bama_43504,"BTrained, HVAC Training",http://www.btrained.net/,,https://www.btrained.net/media/system/images/joomla-favicon.svg,hvac,Birmingham,AL
